Unnamed: 0,Model,Hour,nRVs,Total_Sensing_Coverage,New_Locations_Sensing_Coverage,Order_Overdue,Average_Driving_Incentive,Average_Driving_Incentive_Index,executionTime
7,dsd-tsm,7,,7833,822,150,10.024218009478655,0.252453538580892,17.937609434127808
8,dsd-tsm,8,,8256,1245,257,7.752902494331109,0.2176856456479978,43.11865186691284
9,dsd-tsm,9,,8476,1465,380,6.849919614147966,0.2086766089989382,62.79103422164917
10,dsd-tsm,10,,9071,2060,1393,9.337744020685069,0.2732907360191093,570.7392132282257
11,dsd-tsm,11,,9232,2221,1645,19.423179744525637,0.4971486177563604,8123.622841358185
12,dsd-tsm,12,,9140,2129,730,11.27274433106561,0.3324940701118399,1435.4110615253448
13,dsd-tsm,13,,8870,1859,692,11.08266909975642,0.3521688903078779,384.71183800697327
14,dsd-tsm,14,,8542,1531,461,10.899665471923525,0.2950423156812006,148.05508708953855
15,dsd-tsm,15,,8559,1548,404,6.766026666666751,0.2011349469398617,99.73289895057678
16,dsd-tsm,16,,8508,1497,472,7.034764776839657,0.2142065602209072,117.05075716972352
17,dsd-tsm,17,,8710,1699,580,10.205407608695513,0.2803786960415615,266.1249134540558
18,dsd-tsm,18,,8771,1760,573,7.883923006416207,0.2367769856901593,273.0221378803253
19,dsd-tsm,19,,8631,1620,438,6.892362110311833,0.2028794468012959,139.39091873168945
20,dsd-tsm,20,,8444,1433,323,7.035857385399034,0.2084020802297695,66.41227912902832
21,dsd-tsm,21,,8082,1071,193,8.598615819209067,0.2591123661060836,27.65686273574829
22,dsd-tsm,22,,7832,821,134,8.636864406779633,0.255250183135874,19.54998993873596
23,dsd-tsm,23,,7474,463,70,7.539999999999988,0.2288360476832255,14.109610080718994
0,DeliSense,7,500.0,7918,907,2,13.275450236966824,1.726580432777783,1324.5088758468628
1,DeliSense,8,500.0,8172,1161,17,10.564308390022674,1.8991524320187296,1422.6975402832031
2,DeliSense,9,500.0,8194,1183,19,7.869212218649517,1.536363795975919,1442.503767490387
3,DeliSense,10,500.0,9061,2050,106,13.92043309631533,0.9726486391032426,3441.6472206115723
0,fdd-sdp,0,,7011,0,3,4.170338983050847,1.5380398873441543,7.9624412059783936
1,fdd-sdp,1,,7011,0,1,4.821538461538462,1.4532589439881105,5.03120231628418
2,fdd-sdp,2,,7011,0,3,1.4729166666666669,2.040185185185185,3.0932424068450928
3,fdd-sdp,3,,7011,0,0,0.0,,2.0528454780578613
4,fdd-sdp,4,,7011,0,0,0.0,,0.9422845840454102
5,fdd-sdp,5,,7011,0,0,0.0,,1.0272786617279053
6,fdd-sdp,6,,7011,0,1,0.5363636363636364,1.473888888888889,3.9118967056274414
7,fdd-sdp,7,,7029,18,2,4.622748815165876,1.338273694102738,19.908693313598636
8,fdd-sdp,8,,7073,62,15,8.210612244897959,1.956510514238372,112.40729355812071
9,fdd-sdp,9,,7100,89,13,6.4208199356913225,1.774488538914574,162.49698138237
10,fdd-sdp,10,,7178,167,37,12.525080801551344,1.1917134995415335,3513.8874270915985
11,fdd-sdp,11,,7678,667,109,19.596587591241075,1.262009307080145,15296.306636333466
12,fdd-sdp,12,,7182,171,48,13.724104308389968,1.8100851847783823,3691.7903542518616
13,fdd-sdp,13,,7091,80,18,6.565880778588812,2.1645535471408284,812.3711607456207
14,fdd-sdp,14,,7027,16,5,2.313381123058542,1.7815420423920822,326.29028701782227
15,fdd-sdp,15,,7063,52,5,0.9805466666666668,1.3566206811393358,193.54355025291443
